# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	15616	16749	+					dnaJ		KPN_RS00075	1134		old_locus_tag=KPN_00015
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	15616	16749	+	WP_002887955.1	WP_002887955.1		molecular chaperone DnaJ	dnaJ		KPN_RS00075	1134	377	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	16927	18102	+					nhaA		KPN_RS00080	1176		old_locus_tag=KPN_00016
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	16927	18102	+	WP_032422035.1	WP_032422035.1		Na+/H+ antiporter NhaA	nhaA		KPN_RS00080	1176	391	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	18157	19053	+					nhaR		KPN_RS00085	897		old_locus_tag=KPN_00017
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	18157	19053	+	WP_002887961.1	WP_002887961.1		transcriptional activator NhaR	nhaR		KPN_RS00085	897	298	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	19173	19436	-					rpsT		KPN_RS00095	264		old_locus_tag=KPN_00018
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	19173	19436	-	WP_002887965.1	WP_002887965.1		30S ribosomal protein S20	rpsT		KPN_RS00095	264	87	
gene	pseudogene	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	19553	19758	+							KPN_RS32305	206		partial;pseudo;old_locus_tag=KPN_00019
CDS	without_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	19553	19758	+				DUF2575 domain-containing protein			KPN_RS32305	206		partial;pseudo
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	19766	20704	+					ribF		KPN_RS00100	939		old_locus_tag=KPN_00020
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	19766	20704	+	WP_002887969.1	WP_002887969.1		bifunctional riboflavin kinase/FAD synthetase	ribF		KPN_RS00100	939	312	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	20748	23564	+					ileS		KPN_RS00105	2817		old_locus_tag=KPN_00021
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	20748	23564	+	WP_002887972.1	WP_002887972.1		isoleucine--tRNA ligase	ileS		KPN_RS00105	2817	938	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	23564	24064	+					lspA		KPN_RS00110	501		old_locus_tag=KPN_00022
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	23564	24064	+	WP_002887973.1	WP_002887973.1		signal peptidase II	lspA		KPN_RS00110	501	166	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	24180	24629	+					fkpB		KPN_RS00115	450		old_locus_tag=KPN_00023
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	24180	24629	+	WP_002887976.1	WP_002887976.1		FKBP-type peptidyl-prolyl cis-trans isomerase	fkpB		KPN_RS00115	450	149	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	24631	25581	+					ispH		KPN_RS00120	951		old_locus_tag=KPN_00024
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	24631	25581	+	WP_002887979.1	WP_002887979.1		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH		KPN_RS00120	951	316	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	25648	26562	+					rihC		KPN_RS00125	915		old_locus_tag=KPN_00025
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	25648	26562	+	WP_002887981.1	WP_002887981.1		ribonucleoside hydrolase RihC	rihC		KPN_RS00125	915	304	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	26593	26958	+							KPN_RS00130	366		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	26593	26958	+	WP_009309187.1	WP_009309187.1		DUF805 domain-containing protein			KPN_RS00130	366	121	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	26906	27835	-							KPN_RS00135	930		old_locus_tag=KPN_00027
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	26906	27835	-	WP_009309189.1	WP_009309189.1		LysR family transcriptional regulator			KPN_RS00135	930	309	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	27928	28557	+							KPN_RS00140	630		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	27928	28557	+	WP_023279871.1	WP_023279871.1		serine-tRNA(Ala) deacylase AlaX			KPN_RS00140	630	209	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	28563	29267	-							KPN_RS00145	705		old_locus_tag=KPN_00028
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	28563	29267	-	WP_004222618.1	WP_004222618.1		response regulator			KPN_RS00145	705	234	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	29260	30888	-							KPN_RS00150	1629		old_locus_tag=KPN_00029
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	29260	30888	-	WP_004151379.1	WP_004151379.1		ATP-binding protein			KPN_RS00150	1629	542	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	31060	32361	-							KPN_RS00155	1302		old_locus_tag=KPN_00030
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	31060	32361	-	WP_004181423.1	WP_004181423.1		oxalacetate decarboxylase subunit beta			KPN_RS00155	1302	433	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	32377	34143	-					oadA		KPN_RS00160	1767		old_locus_tag=KPN_00031
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	32377	34143	-	WP_011977637.1	WP_011977637.1		sodium-extruding oxaloacetate decarboxylase subunit alpha	oadA		KPN_RS00160	1767	588	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	34159	34410	-							KPN_RS00165	252		old_locus_tag=KPN_00032
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	34159	34410	-	WP_011977638.1	WP_011977638.1		oxaloacetate decarboxylase subunit gamma			KPN_RS00165	252	83	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	34566	35906	-					citS		KPN_RS00170	1341		old_locus_tag=KPN_00033
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	34566	35906	-	WP_004151375.1	WP_004151375.1		citrate/sodium symporter CitS	citS		KPN_RS00170	1341	446	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	36163	37191	+					citC		KPN_RS00175	1029		old_locus_tag=KPN_00034
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	36163	37191	+	WP_004222626.1	WP_004222626.1		[citrate (pro-3S)-lyase] ligase	citC		KPN_RS00175	1029	342	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	37222	37515	+					citD		KPN_RS00180	294		old_locus_tag=KPN_00035
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	37222	37515	+	WP_004151373.1	WP_004151373.1		citrate lyase acyl carrier protein	citD		KPN_RS00180	294	97	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	37512	38381	+					citE		KPN_RS00185	870		old_locus_tag=KPN_00036
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	37512	38381	+	WP_004151372.1	WP_004151372.1		citrate (pro-3S)-lyase subunit beta	citE		KPN_RS00185	870	289	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	38392	39918	+					citF		KPN_RS00190	1527		old_locus_tag=KPN_00037
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	38392	39918	+	WP_032422031.1	WP_032422031.1		citrate lyase subunit alpha	citF		KPN_RS00190	1527	508	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	39937	40845	+					citG		KPN_RS00195	909		old_locus_tag=KPN_00038
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	39937	40845	+	WP_004222628.1	WP_004222628.1		triphosphoribosyl-dephospho-CoA synthase CitG	citG		KPN_RS00195	909	302	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	41074	41895	+					dapB		KPN_RS00200	822		old_locus_tag=KPN_00039
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	41074	41895	+	WP_004151369.1	WP_004151369.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		KPN_RS00200	822	273	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	42353	43501	+					carA		KPN_RS00215	1149		old_locus_tag=KPN_00040
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	42353	43501	+	WP_004177433.1	WP_004177433.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		KPN_RS00215	1149	382	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	43661	46885	+					carB		KPN_RS00220	3225		old_locus_tag=KPN_00041
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	43661	46885	+	WP_002888056.1	WP_002888056.1		carbamoyl-phosphate synthase large subunit	carB		KPN_RS00220	3225	1074	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	47055	47288	+							KPN_RS00225	234		old_locus_tag=KPN_00042
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	47055	47288	+	WP_002888059.1	WP_002888059.1		YgdI/YgdR family lipoprotein			KPN_RS00225	234	77	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	47420	47953	+					kefF		KPN_RS00230	534		old_locus_tag=KPN_00043
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	47420	47953	+	WP_002888068.1	WP_002888068.1		glutathione-regulated potassium-efflux system oxidoreductase KefF	kefF		KPN_RS00230	534	177	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	47946	49811	+					kefC		KPN_RS00235	1866		old_locus_tag=KPN_00044
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	47946	49811	+	WP_004145992.1	WP_004145992.1		glutathione-regulated potassium-efflux system protein KefC	kefC		KPN_RS00235	1866	621	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	49985	50464	+					folA		KPN_RS00240	480		old_locus_tag=KPN_00045
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	49985	50464	+	WP_002888320.1	WP_002888320.1		type 3 dihydrofolate reductase	folA		KPN_RS00240	480	159	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	50717	51565	-					apaH		KPN_RS00245	849		old_locus_tag=KPN_00046
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	50717	51565	-	WP_002888321.1	WP_002888321.1		bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH	apaH		KPN_RS00245	849	282	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	51570	51947	-					apaG		KPN_RS00250	378		old_locus_tag=KPN_00047
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	51570	51947	-	WP_004182901.1	WP_004182901.1		Co2+/Mg2+ efflux protein ApaG	apaG		KPN_RS00250	378	125	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	51950	52771	-					rsmA		KPN_RS00255	822		old_locus_tag=KPN_00048
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	51950	52771	-	WP_002888324.1	WP_002888324.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		KPN_RS00255	822	273	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	52768	53757	-					pdxA		KPN_RS00260	990		old_locus_tag=KPN_00049
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	52768	53757	-	WP_004182903.1	WP_004182903.1		4-hydroxythreonine-4-phosphate dehydrogenase PdxA	pdxA		KPN_RS00260	990	329	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	53763	55049	-					surA		KPN_RS00265	1287		old_locus_tag=KPN_00050
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	53763	55049	-	WP_002888329.1	WP_002888329.1		peptidylprolyl isomerase SurA	surA		KPN_RS00265	1287	428	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	55104	57452	-					lptD		KPN_RS00270	2349		old_locus_tag=KPN_00051
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	55104	57452	-	WP_004147026.1	WP_004147026.1		LPS assembly protein LptD	lptD		KPN_RS00270	2349	782	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	57696	58523	+					djlA		KPN_RS00275	828		old_locus_tag=KPN_00052
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	57696	58523	+	WP_002888332.1	WP_002888332.1		co-chaperone DjlA	djlA		KPN_RS00275	828	275	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	58556	59254	-							KPN_RS00280	699		old_locus_tag=KPN_00053
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	58556	59254	-	WP_002888337.1	WP_002888337.1		response regulator			KPN_RS00280	699	232	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	59244	60869	-							KPN_RS00285	1626		old_locus_tag=KPN_00054
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	59244	60869	-	WP_002888340.1	WP_002888340.1		ATP-binding protein			KPN_RS00285	1626	541	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	61194	62558	+							KPN_RS00290	1365		old_locus_tag=KPN_00055
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	61194	62558	+	WP_002888345.1	WP_002888345.1		2-hydroxycarboxylate transporter family protein			KPN_RS00290	1365	454	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	62738	63277	+					citX		KPN_RS00300	540		old_locus_tag=KPN_00056
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	62738	63277	+	WP_002888347.1	WP_002888347.1		citrate lyase holo-[acyl-carrier protein] synthase	citX		KPN_RS00300	540	179	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	63352	64011	-					rluA		KPN_RS00305	660		old_locus_tag=KPN_00057
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	63352	64011	-	WP_004145980.1	WP_004145980.1		bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA	rluA		KPN_RS00305	660	219	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	64024	66930	-					rapA		KPN_RS00310	2907		old_locus_tag=KPN_00058
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	64024	66930	-	WP_004177426.1	WP_004177426.1		RNA polymerase-associated protein RapA	rapA		KPN_RS00310	2907	968	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	67118	69475	-					polB		KPN_RS00315	2358		old_locus_tag=KPN_00059
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	67118	69475	-	WP_011977643.1	WP_011977643.1		DNA polymerase II	polB		KPN_RS00315	2358	785	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	69651	70346	-					araD		KPN_RS00320	696		old_locus_tag=KPN_00060
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	69651	70346	-	WP_011977644.1	WP_011977644.1		L-ribulose-5-phosphate 4-epimerase	araD		KPN_RS00320	696	231	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	70484	71986	-					araA		KPN_RS00325	1503		old_locus_tag=KPN_00061
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	70484	71986	-	WP_011977645.1	WP_011977645.1		L-arabinose isomerase	araA		KPN_RS00325	1503	500	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	71997	73706	-					araB		KPN_RS00330	1710		old_locus_tag=KPN_00062
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	71997	73706	-	WP_011977646.1	WP_011977646.1		ribulokinase	araB		KPN_RS00330	1710	569	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	74044	74889	+					araC		KPN_RS00340	846		old_locus_tag=KPN_00063
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	74044	74889	+	WP_004145972.1	WP_004145972.1		arabinose operon transcriptional regulator AraC	araC		KPN_RS00340	846	281	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	75018	75785	+							KPN_RS00345	768		old_locus_tag=KPN_00064
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	75018	75785	+	WP_002888373.1	WP_002888373.1		DedA family protein			KPN_RS00345	768	255	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	75772	76473	-					thiQ		KPN_RS00350	702		old_locus_tag=KPN_00065
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	75772	76473	-	WP_011977647.1	WP_011977647.1		thiamine ABC transporter ATP-binding protein ThiQ	thiQ		KPN_RS00350	702	233	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	76457	78067	-					thiP		KPN_RS00355	1611		old_locus_tag=KPN_00066
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	76457	78067	-	WP_004147039.1	WP_004147039.1		thiamine/thiamine pyrophosphate ABC transporter permease ThiP	thiP		KPN_RS00355	1611	536	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	78043	79026	-					thiB		KPN_RS00360	984		old_locus_tag=KPN_00067
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	78043	79026	-	WP_011977648.1	WP_011977648.1		thiamine ABC transporter substrate binding subunit	thiB		KPN_RS00360	984	327	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	79316	80971	-					sgrR		KPN_RS00365	1656		old_locus_tag=KPN_00068
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	79316	80971	-	WP_004145968.1	WP_004145968.1		HTH-type transcriptional regulator SgrR	sgrR		KPN_RS00365	1656	551	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	81059	81211	+					sgrT		KPN_RS00370	153		old_locus_tag=KPN_00069
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	81059	81211	+	WP_002888448.1	WP_002888448.1		glucose uptake inhibitor SgrT	sgrT		KPN_RS00370	153	50	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	81479	82663	+							KPN_RS00380	1185		old_locus_tag=KPN_00070
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	81479	82663	+	WP_004222652.1	WP_004222652.1		sugar efflux transporter			KPN_RS00380	1185	394	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	82697	84007	-							KPN_RS00385	1311		old_locus_tag=KPN_00071
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	82697	84007	-	WP_041937579.1	WP_041937579.1		MFS transporter			KPN_RS00385	1311	436	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	84239	85135	+							KPN_RS00390	897		old_locus_tag=KPN_00072
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	84239	85135	+	WP_011977650.1	WP_011977650.1		LysR family transcriptional regulator			KPN_RS00390	897	298	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	85173	85928	-					aroD		KPN_RS00395	756		old_locus_tag=KPN_00073
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	85173	85928	-	WP_004177420.1	WP_004177420.1		type I 3-dehydroquinate dehydratase	aroD		KPN_RS00395	756	251	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	85959	87173	-							KPN_RS00400	1215		old_locus_tag=KPN_00074
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	85959	87173	-	WP_002888458.1	WP_002888458.1		MFS transporter			KPN_RS00400	1215	404	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	87184	88047	-							KPN_RS00405	864		old_locus_tag=KPN_00075
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	87184	88047	-	WP_002888460.1	WP_002888460.1		shikimate dehydrogenase			KPN_RS00405	864	287	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	88059	90092	-							KPN_RS00410	2034		old_locus_tag=KPN_00076
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	88059	90092	-	WP_004147052.1	WP_004147052.1		FAD-dependent oxidoreductase			KPN_RS00410	2034	677	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	90488	91093	-					leuD		KPN_RS00415	606		old_locus_tag=KPN_00077
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	90488	91093	-	WP_011977651.1	WP_011977651.1		3-isopropylmalate dehydratase small subunit	leuD		KPN_RS00415	606	201	
