lcl|NC_032089.1_cds_XP_719073.1_1	CAALFM_C100020CA
lcl|NC_032089.1_cds_XP_719030.1_34	CAALFM_C100400WA
lcl|NC_032089.1_cds_XP_719028.2_35	CAALFM_C100410CA
lcl|NC_032089.1_cds_XP_719027.1_36	CAALFM_C100420WA
lcl|NC_032089.1_cds_XP_719026.2_37	CAALFM_C100430WA
lcl|NC_032089.1_cds_XP_019330601.1_38	CAALFM_C100440WA
lcl|NC_032089.1_cds_XP_019330602.1_39	CAALFM_C100450CA
lcl|NC_032089.1_cds_XP_719024.1_40	CAALFM_C100460WA
lcl|NC_032089.1_cds_XP_719023.1_41	CAALFM_C100470CA
lcl|NC_032089.1_cds_XP_719022.1_42	CAALFM_C100480CA
lcl|NC_032089.1_cds_XP_719021.1_43	CAALFM_C100490CA
lcl|NC_032089.1_cds_XP_719020.1_44	CAALFM_C100500CA
lcl|NC_032089.1_cds_XP_719019.1_45	CAALFM_C100510WA
lcl|NC_032089.1_cds_XP_719018.1_46	CAALFM_C100520WA
lcl|NC_032089.1_cds_XP_719017.1_47	CAALFM_C100530CA
lcl|NC_032089.1_cds_XP_719016.2_48	CAALFM_C100540CA
lcl|NC_032089.1_cds_XP_719015.2_49	CAALFM_C100550WA
lcl|NC_032089.1_cds_XP_719014.1_50	CAALFM_C100560WA
lcl|NC_032089.1_cds_XP_719011.2_51	CAALFM_C100570CA
lcl|NC_032089.1_cds_XP_719010.1_52	CAALFM_C100580WA
lcl|NC_032089.1_cds_XP_719009.1_53	CAALFM_C100590WA
lcl|NC_032089.1_cds_XP_719008.2_54	CAALFM_C100600WA
lcl|NC_032089.1_cds_XP_719007.1_55	CAALFM_C100610WA
lcl|NC_032089.1_cds_XP_719006.1_56	CAALFM_C100620WA
lcl|NC_032089.1_cds_XP_719005.1_57	CAALFM_C100630WA
lcl|NC_032089.1_cds_XP_719003.2_58	CAALFM_C100640CA
lcl|NC_032089.1_cds_XP_719002.1_59	CAALFM_C100650CA
lcl|NC_032089.1_cds_XP_719001.1_60	CAALFM_C100660CA
lcl|NC_032089.1_cds_XP_719000.1_61	CAALFM_C100670CA
lcl|NC_032089.1_cds_XP_718999.1_62	CAALFM_C100680WA
lcl|NC_032089.1_cds_XP_718998.2_63	CAALFM_C100690WA
lcl|NC_032089.1_cds_XP_718997.1_64	CAALFM_C100700WA
lcl|NC_032089.1_cds_XP_019330603.1_65	CAALFM_C100710CA
lcl|NC_032089.1_cds_XP_718995.2_66	CAALFM_C100730CA
lcl|NC_032089.1_cds_XP_718994.2_67	CAALFM_C100740CA
lcl|NC_032089.1_cds_XP_718993.2_68	CAALFM_C100750CA
lcl|NC_032089.1_cds_XP_718992.1_69	CAALFM_C100760WA
lcl|NC_032089.1_cds_XP_718991.1_70	CAALFM_C100770CA
lcl|NC_032089.1_cds_XP_718990.2_71	CAALFM_C100780CA
lcl|NC_032089.1_cds_XP_718989.2_72	CAALFM_C100790WA
lcl|NC_032089.1_cds_XP_718988.2_73	CAALFM_C100800CA
lcl|NC_032089.1_cds_XP_718987.2_74	CAALFM_C100810WA
lcl|NC_032089.1_cds_XP_718986.1_75	CAALFM_C100820WA
lcl|NC_032089.1_cds_XP_718985.2_76	CAALFM_C100830WA
lcl|NC_032089.1_cds_XP_718984.2_77	CAALFM_C100840CA
lcl|NC_032089.1_cds_XP_718983.1_78	CAALFM_C100850WA
lcl|NC_032089.1_cds_XP_718982.1_79	CAALFM_C100860WA
lcl|NC_032089.1_cds_XP_718980.2_80	CAALFM_C100870WA
lcl|NC_032089.1_cds_XP_718979.2_81	CAALFM_C100880WA
lcl|NC_032089.1_cds_XP_718978.1_82	CAALFM_C100890WA
lcl|NC_032089.1_cds_XP_718976.1_83	CAALFM_C100900WA
lcl|NC_032089.1_cds_XP_019330604.1_84	CAALFM_C100910WA
lcl|NC_032089.1_cds_XP_718974.1_85	CAALFM_C100920WA
lcl|NC_032089.1_cds_XP_019330605.1_86	CAALFM_C100930CA
lcl|NC_032089.1_cds_XP_019330606.1_87	CAALFM_C100940WA
lcl|NC_032089.1_cds_XP_718972.1_88	CAALFM_C100950CA
lcl|NC_032089.1_cds_XP_718971.1_89	CAALFM_C100960CA
lcl|NC_032089.1_cds_XP_019330607.1_90	CAALFM_C100970WA
lcl|NC_032089.1_cds_XP_019330608.1_91	CAALFM_C100980WA
lcl|NC_032089.1_cds_XP_718111.2_92	CAALFM_C100990CA
lcl|NC_032089.1_cds_XP_718112.1_93	CAALFM_C101000CA
lcl|NC_032089.1_cds_XP_718113.2_94	CAALFM_C101010WA
lcl|NC_032089.1_cds_XP_718114.1_95	CAALFM_C101030WA
lcl|NC_032089.1_cds_XP_718115.1_96	CAALFM_C101040WA
lcl|NC_032089.1_cds_XP_718116.1_97	CAALFM_C101050CA
lcl|NC_032089.1_cds_XP_718117.1_98	CAALFM_C101060WA
lcl|NC_032089.1_cds_XP_718118.2_99	CAALFM_C101070CA
lcl|NC_032089.1_cds_XP_718119.1_100	CAALFM_C101080WA
lcl|NC_032089.1_cds_XP_718120.1_101	CAALFM_C101090CA
lcl|NC_032089.1_cds_XP_718121.1_102	CAALFM_C101100WA
lcl|NC_032089.1_cds_XP_718123.1_103	CAALFM_C101110CA
lcl|NC_032089.1_cds_XP_718124.1_104	CAALFM_C101130WA
lcl|NC_032089.1_cds_XP_718125.1_105	CAALFM_C101140CA
lcl|NC_032089.1_cds_XP_718126.1_106	CAALFM_C101150CA
lcl|NC_032089.1_cds_XP_718127.2_107	CAALFM_C101160CA
lcl|NC_032089.1_cds_XP_718128.2_108	CAALFM_C101170CA
lcl|NC_032089.1_cds_XP_718129.1_109	CAALFM_C101180CA
lcl|NC_032089.1_cds_XP_718130.1_110	CAALFM_C101190CA
lcl|NC_032089.1_cds_XP_718131.1_111	CAALFM_C101200WA
lcl|NC_032089.1_cds_XP_718132.1_112	CAALFM_C101210WA
lcl|NC_032089.1_cds_XP_718133.1_113	CAALFM_C101220CA
lcl|NC_032089.1_cds_XP_718134.1_114	CAALFM_C101240WA
lcl|NC_032089.1_cds_XP_718135.2_115	CAALFM_C101250WA
lcl|NC_032089.1_cds_XP_718137.1_116	CAALFM_C101260CA
lcl|NC_032089.1_cds_XP_718138.2_117	CAALFM_C101270WA
lcl|NC_032089.1_cds_XP_718140.2_118	CAALFM_C101280CA
lcl|NC_032089.1_cds_XP_718141.2_119	CAALFM_C101290CA
lcl|NC_032089.1_cds_XP_718142.1_120	CAALFM_C101300WA
lcl|NC_032089.1_cds_XP_718144.1_121	CAALFM_C101320WA
lcl|NC_032089.1_cds_XP_718145.1_122	CAALFM_C101330CA
lcl|NC_032089.1_cds_XP_718146.1_123	CAALFM_C101340CA
lcl|NC_032089.1_cds_XP_718147.1_124	CAALFM_C101350CA
lcl|NC_032089.1_cds_XP_718148.2_125	CAALFM_C101360CA
lcl|NC_032089.1_cds_XP_019330609.1_126	CAALFM_C101370CA
lcl|NC_032089.1_cds_XP_718150.2_127	CAALFM_C101380CA
lcl|NC_032089.1_cds_XP_718151.2_128	CAALFM_C101390CA
lcl|NC_032089.1_cds_XP_718152.1_129	CAALFM_C101400CA
lcl|NC_032089.1_cds_XP_718153.1_130	CAALFM_C101420CA
lcl|NC_032089.1_cds_XP_019330610.1_131	CAALFM_C101440CA
lcl|NC_032089.1_cds_XP_718154.2_132	CAALFM_C101450WA
lcl|NC_032089.1_cds_XP_718155.2_133	CAALFM_C101460WA
lcl|NC_032089.1_cds_XP_718156.2_134	CAALFM_C101470WA
lcl|NC_032089.1_cds_XP_718157.1_135	CAALFM_C101480CA
lcl|NC_032089.1_cds_XP_718158.1_136	CAALFM_C101490WA
lcl|NC_032089.1_cds_XP_718161.2_137	CAALFM_C101510WA
lcl|NC_032089.1_cds_XP_718163.1_138	CAALFM_C101520CA
lcl|NC_032089.1_cds_XP_718164.2_139	CAALFM_C101530CA
lcl|NC_032089.1_cds_XP_718165.1_140	CAALFM_C101540WA
lcl|NC_032089.1_cds_XP_718167.1_141	CAALFM_C101550WA
lcl|NC_032089.1_cds_XP_718168.2_142	CAALFM_C101560WA
lcl|NC_032089.1_cds_XP_718170.1_143	CAALFM_C101570CA
lcl|NC_032089.1_cds_XP_718171.1_144	CAALFM_C101580WA
lcl|NC_032089.1_cds_XP_718172.1_145	CAALFM_C101590CA
lcl|NC_032089.1_cds_XP_718173.2_146	CAALFM_C101600WA
lcl|NC_032089.1_cds_XP_019330611.1_147	CAALFM_C101610CA
lcl|NC_032089.1_cds_XP_718175.2_148	CAALFM_C101620CA
lcl|NC_032089.1_cds_XP_718176.2_149	CAALFM_C101630WA
lcl|NC_032089.1_cds_XP_019330612.1_150	CAALFM_C101640WA
lcl|NC_032089.1_cds_XP_718178.1_151	CAALFM_C101650WA
lcl|NC_032089.1_cds_XP_718179.2_152	CAALFM_C101670CA
lcl|NC_032089.1_cds_XP_718180.1_153	CAALFM_C101680CA
lcl|NC_032089.1_cds_XP_718181.1_154	CAALFM_C101690CA
lcl|NC_032089.1_cds_XP_718182.2_155	CAALFM_C101700WA
lcl|NC_032089.1_cds_XP_718183.1_156	CAALFM_C101710WA
lcl|NC_032089.1_cds_XP_712976.1_157	CAALFM_C101740WA
lcl|NC_032089.1_cds_XP_712975.2_158	CAALFM_C101750WA
lcl|NC_032089.1_cds_XP_712974.2_159	CAALFM_C101760WA
lcl|NC_032089.1_cds_XP_712973.1_160	CAALFM_C101770WA
lcl|NC_032089.1_cds_XP_712971.2_161	CAALFM_C101780CA
lcl|NC_032089.1_cds_XP_019330613.1_162	CAALFM_C101790WA
lcl|NC_032089.1_cds_XP_712969.1_163	CAALFM_C101800WA
lcl|NC_032089.1_cds_XP_712968.1_164	CAALFM_C101810CA
lcl|NC_032089.1_cds_XP_712967.1_165	CAALFM_C101820CA
lcl|NC_032089.1_cds_XP_712965.1_166	CAALFM_C101830CA
lcl|NC_032089.1_cds_XP_712964.1_167	CAALFM_C101840CA
lcl|NC_032089.1_cds_XP_712963.1_168	CAALFM_C101850CA
lcl|NC_032089.1_cds_XP_712962.1_169	CAALFM_C101860WA
lcl|NC_032089.1_cds_XP_712961.1_170	CAALFM_C101870CA
lcl|NC_032089.1_cds_XP_712960.2_171	CAALFM_C101880CA
lcl|NC_032089.1_cds_XP_712959.2_172	CAALFM_C101890CA
lcl|NC_032089.1_cds_XP_712958.2_173	CAALFM_C101900CA
lcl|NC_032089.1_cds_XP_712957.2_174	CAALFM_C101910WA
lcl|NC_032089.1_cds_XP_712956.2_175	CAALFM_C101920WA
lcl|NC_032089.1_cds_XP_019330614.1_176	CAALFM_C101930WA
lcl|NC_032089.1_cds_XP_712954.1_177	CAALFM_C101940CA
lcl|NC_032089.1_cds_XP_712953.1_178	CAALFM_C101950CA
lcl|NC_032089.1_cds_XP_019330615.1_179	CAALFM_C101970WA
lcl|NC_032089.1_cds_XP_712952.2_180	CAALFM_C101980WA
lcl|NC_032089.1_cds_XP_712951.1_181	CAALFM_C101990WA
lcl|NC_032089.1_cds_XP_712950.2_182	CAALFM_C102000WA
lcl|NC_032089.1_cds_XP_019330616.1_183	CAALFM_C102010CA
lcl|NC_032089.1_cds_XP_712948.1_184	CAALFM_C102020WA
lcl|NC_032089.1_cds_XP_712947.1_185	CAALFM_C102030CA
lcl|NC_032089.1_cds_XP_713755.2_186	CAALFM_C102040CA
lcl|NC_032089.1_cds_XP_713757.1_187	CAALFM_C102050CA
lcl|NC_032089.1_cds_XP_019330617.1_188	CAALFM_C102060WA
lcl|NC_032089.1_cds_XP_713758.1_189	CAALFM_C102070WA
lcl|NC_032089.1_cds_XP_713759.1_190	CAALFM_C102080WA
lcl|NC_032089.1_cds_XP_713760.2_191	CAALFM_C102090CA
lcl|NC_032089.1_cds_XP_713761.2_192	CAALFM_C102100WA
lcl|NC_032089.1_cds_XP_713762.1_193	CAALFM_C102110CA
lcl|NC_032089.1_cds_XP_713763.1_194	CAALFM_C102120CA
lcl|NC_032089.1_cds_XP_713764.1_195	CAALFM_C102130CA
lcl|NC_032089.1_cds_XP_713766.2_196	CAALFM_C102150WA
lcl|NC_032089.1_cds_XP_713767.1_197	CAALFM_C102160WA
lcl|NC_032089.1_cds_XP_713768.1_198	CAALFM_C102170CA
lcl|NC_032089.1_cds_XP_713769.2_199	CAALFM_C102180WA
lcl|NC_032089.1_cds_XP_713770.1_200	CAALFM_C102190WA
lcl|NC_032089.1_cds_XP_713771.2_201	CAALFM_C102200CA
lcl|NC_032089.1_cds_XP_713772.2_202	CAALFM_C102210WA
lcl|NC_032089.1_cds_XP_713773.1_203	CAALFM_C102220CA
lcl|NC_032089.1_cds_XP_713774.1_204	CAALFM_C102230WA
lcl|NC_032089.1_cds_XP_713775.1_205	CAALFM_C102240WA
lcl|NC_032089.1_cds_XP_713776.1_206	CAALFM_C102250WA
lcl|NC_032089.1_cds_XP_713777.2_207	CAALFM_C102260CA
lcl|NC_032089.1_cds_XP_713778.2_208	CAALFM_C102270CA
lcl|NC_032089.1_cds_XP_713779.2_209	CAALFM_C102280CA
lcl|NC_032089.1_cds_XP_713780.2_210	CAALFM_C102290CA
lcl|NC_032089.1_cds_XP_713781.1_211	CAALFM_C102300WA
lcl|NC_032089.1_cds_XP_713782.1_212	CAALFM_C102310CA
lcl|NC_032089.1_cds_XP_713784.2_213	CAALFM_C102320CA
lcl|NC_032089.1_cds_XP_019330618.1_214	CAALFM_C102330CA
lcl|NC_032089.1_cds_XP_713785.1_215	CAALFM_C102350WA
lcl|NC_032089.1_cds_XP_713787.2_216	CAALFM_C102360CA
lcl|NC_032089.1_cds_XP_713788.2_217	CAALFM_C102370CA
lcl|NC_032089.1_cds_XP_721425.2_218	CAALFM_C102380CA
lcl|NC_032089.1_cds_XP_721426.2_219	CAALFM_C102390WA
lcl|NC_032089.1_cds_XP_721427.2_220	CAALFM_C102400CA
lcl|NC_032089.1_cds_XP_721428.2_221	CAALFM_C102410CA
lcl|NC_032089.1_cds_XP_721429.2_222	CAALFM_C102420CA
lcl|NC_032089.1_cds_XP_721430.2_223	CAALFM_C102430CA
lcl|NC_032089.1_cds_XP_721432.2_224	CAALFM_C102440CA
lcl|NC_032089.1_cds_XP_721433.2_225	CAALFM_C102450CA
lcl|NC_032089.1_cds_XP_721434.1_226	CAALFM_C102460WA
lcl|NC_032089.1_cds_XP_721435.1_227	CAALFM_C102470WA
lcl|NC_032089.1_cds_XP_721436.1_228	CAALFM_C102480WA
lcl|NC_032089.1_cds_XP_721437.1_229	CAALFM_C102490CA
lcl|NC_032089.1_cds_XP_721438.1_230	CAALFM_C102500WA
lcl|NC_032089.1_cds_XP_721439.1_231	CAALFM_C102510WA
lcl|NC_032089.1_cds_XP_721440.1_232	CAALFM_C102520WA
lcl|NC_032089.1_cds_XP_721441.2_233	CAALFM_C102530CA
lcl|NC_032089.1_cds_XP_721444.1_234	CAALFM_C102570CA
lcl|NC_032089.1_cds_XP_721445.2_235	CAALFM_C102580WA
lcl|NC_032089.1_cds_XP_721446.1_236	CAALFM_C102590CA
lcl|NC_032089.1_cds_XP_721447.1_237	CAALFM_C102600WA
lcl|NC_032089.1_cds_XP_721448.2_238	CAALFM_C102610WA
lcl|NC_032089.1_cds_XP_721450.1_239	CAALFM_C102620CA
lcl|NC_032089.1_cds_XP_721451.2_240	CAALFM_C102630CA
lcl|NC_032089.1_cds_XP_721452.1_241	CAALFM_C102640CA
lcl|NC_032089.1_cds_XP_721453.2_242	CAALFM_C102650WA
lcl|NC_032089.1_cds_XP_721455.2_243	CAALFM_C102660CA
lcl|NC_032089.1_cds_XP_721456.2_244	CAALFM_C102670CA
lcl|NC_032089.1_cds_XP_721457.2_245	CAALFM_C102680CA
lcl|NC_032089.1_cds_XP_721458.1_246	CAALFM_C102690CA
lcl|NC_032089.1_cds_XP_019330619.1_247	CAALFM_C102700CA
lcl|NC_032089.1_cds_XP_721459.2_248	CAALFM_C102710WA
lcl|NC_032089.1_cds_XP_721460.1_249	CAALFM_C102720WA
lcl|NC_032089.1_cds_XP_721461.1_250	CAALFM_C102730WA
lcl|NC_032089.1_cds_XP_721462.1_251	CAALFM_C102740CA
lcl|NC_032089.1_cds_XP_721463.2_252	CAALFM_C102750CA
lcl|NC_032089.1_cds_XP_721464.1_253	CAALFM_C102760WA
lcl|NC_032089.1_cds_XP_019330620.1_254	CAALFM_C102770WA
lcl|NC_032089.1_cds_XP_721465.1_255	CAALFM_C102780WA
lcl|NC_032089.1_cds_XP_721466.1_256	CAALFM_C102790WA
lcl|NC_032089.1_cds_XP_721467.2_257	CAALFM_C102800WA
lcl|NC_032089.1_cds_XP_721468.1_258	CAALFM_C102810WA
lcl|NC_032089.1_cds_XP_721469.2_259	CAALFM_C102820WA
lcl|NC_032089.1_cds_XP_721470.2_260	CAALFM_C102830WA
lcl|NC_032089.1_cds_XP_721471.2_261	CAALFM_C102840WA
lcl|NC_032089.1_cds_XP_721472.2_262	CAALFM_C102850WA
lcl|NC_032089.1_cds_XP_721473.1_263	CAALFM_C102860CA
lcl|NC_032089.1_cds_XP_721474.1_264	CAALFM_C102870WA
lcl|NC_032089.1_cds_XP_721476.1_265	CAALFM_C102880CA
lcl|NC_032089.1_cds_XP_721477.1_266	CAALFM_C102890CA
lcl|NC_032089.1_cds_XP_721479.2_267	CAALFM_C102900CA
lcl|NC_032089.1_cds_XP_721480.1_268	CAALFM_C102910CA
lcl|NC_032089.1_cds_XP_721481.2_269	CAALFM_C102920WA
lcl|NC_032089.1_cds_XP_721482.2_270	CAALFM_C102930CA
lcl|NC_032089.1_cds_XP_721483.1_271	CAALFM_C102940CA
lcl|NC_032089.1_cds_XP_721484.1_272	CAALFM_C102950WA
lcl|NC_032089.1_cds_XP_721485.1_273	CAALFM_C102960CA
lcl|NC_032089.1_cds_XP_721486.2_274	CAALFM_C102970WA
lcl|NC_032089.1_cds_XP_721487.1_275	CAALFM_C102980WA
lcl|NC_032089.1_cds_XP_721488.2_276	CAALFM_C102990CA
lcl|NC_032089.1_cds_XP_721489.2_277	CAALFM_C103000WA
lcl|NC_032089.1_cds_XP_721490.1_278	CAALFM_C103010WA
lcl|NC_032089.1_cds_XP_721492.1_279	CAALFM_C103020CA
lcl|NC_032089.1_cds_XP_019330621.1_280	CAALFM_C103030WA
lcl|NC_032089.1_cds_XP_721493.2_281	CAALFM_C103040WA
lcl|NC_032089.1_cds_XP_721494.2_282	CAALFM_C103050WA
lcl|NC_032089.1_cds_XP_721496.1_283	CAALFM_C103060CA
lcl|NC_032089.1_cds_XP_721498.2_284	CAALFM_C103070CA
lcl|NC_032089.1_cds_XP_019330622.1_285	CAALFM_C103080CA
lcl|NC_032089.1_cds_XP_721500.1_286	CAALFM_C103090WA
lcl|NC_032089.1_cds_XP_019330623.1_287	CAALFM_C103100WA
lcl|NC_032089.1_cds_XP_019330624.1_288	CAALFM_C103110WA
lcl|NC_032089.1_cds_XP_721502.1_289	CAALFM_C103120WA
lcl|NC_032089.1_cds_XP_721504.2_290	CAALFM_C103130CA
lcl|NC_032089.1_cds_XP_721505.1_291	CAALFM_C103140WA
lcl|NC_032089.1_cds_XP_019330625.1_292	CAALFM_C103150CA
lcl|NC_032089.1_cds_XP_721506.2_293	CAALFM_C103160CA
lcl|NC_032089.1_cds_XP_721507.2_294	CAALFM_C103170CA
lcl|NC_032089.1_cds_XP_721508.1_295	CAALFM_C103180WA
lcl|NC_032089.1_cds_XP_019330626.1_296	CAALFM_C103190CA
lcl|NC_032089.1_cds_XP_721510.2_297	CAALFM_C103200CA
lcl|NC_032089.1_cds_XP_019330627.1_298	CAALFM_C103210CA
lcl|NC_032089.1_cds_XP_721512.1_299	CAALFM_C103220CA
lcl|NC_032089.1_cds_XP_721513.1_300	CAALFM_C103230CA
lcl|NC_032089.1_cds_XP_721514.2_301	CAALFM_C103240WA
lcl|NC_032089.1_cds_XP_721516.1_302	CAALFM_C103250CA
lcl|NC_032089.1_cds_XP_721517.2_303	CAALFM_C103260WA
lcl|NC_032089.1_cds_XP_019330628.1_304	CAALFM_C103270WA
lcl|NC_032089.1_cds_XP_721520.1_305	CAALFM_C103280WA
lcl|NC_032089.1_cds_XP_721521.1_306	CAALFM_C103290WA
lcl|NC_032089.1_cds_XP_721524.2_307	CAALFM_C103300CA
lcl|NC_032089.1_cds_XP_721525.2_308	CAALFM_C103310WA
lcl|NC_032089.1_cds_XP_721527.1_309	CAALFM_C103320CA
lcl|NC_032089.1_cds_XP_721528.1_310	CAALFM_C103330CA
lcl|NC_032089.1_cds_XP_721529.1_311	CAALFM_C103340CA
lcl|NC_032089.1_cds_XP_721532.1_312	CAALFM_C103350CA
lcl|NC_032089.1_cds_XP_721533.2_313	CAALFM_C103360WA
lcl|NC_032089.1_cds_XP_721535.1_314	CAALFM_C103370WA
lcl|NC_032089.1_cds_XP_721536.1_315	CAALFM_C103380WA
lcl|NC_032089.1_cds_XP_721538.2_316	CAALFM_C103390WA
lcl|NC_032089.1_cds_XP_721539.2_317	CAALFM_C103400WA
lcl|NC_032089.1_cds_XP_721540.2_318	CAALFM_C103410WA
lcl|NC_032089.1_cds_XP_721541.1_319	CAALFM_C103430WA
lcl|NC_032089.1_cds_XP_721543.1_320	CAALFM_C103440CA
lcl|NC_032089.1_cds_XP_721545.2_321	CAALFM_C103450CA
lcl|NC_032089.1_cds_XP_721546.2_322	CAALFM_C103460CA
lcl|NC_032089.1_cds_XP_721547.2_323	CAALFM_C103470CA
lcl|NC_032089.1_cds_XP_721548.2_324	CAALFM_C103480CA
lcl|NC_032089.1_cds_XP_721549.1_325	CAALFM_C103490WA
lcl|NC_032089.1_cds_XP_721550.1_326	CAALFM_C103500WA
lcl|NC_032089.1_cds_XP_721551.2_327	CAALFM_C103510CA
lcl|NC_032089.1_cds_XP_721552.2_328	CAALFM_C103520WA
lcl|NC_032089.1_cds_XP_019330629.1_329	CAALFM_C103530WA
lcl|NC_032089.1_cds_XP_721555.2_330	CAALFM_C103540CA
lcl|NC_032089.1_cds_XP_721556.1_331	CAALFM_C103550CA
lcl|NC_032089.1_cds_XP_721557.1_332	CAALFM_C103560CA
lcl|NC_032089.1_cds_XP_019330630.1_333	CAALFM_C103580WA
lcl|NC_032089.1_cds_XP_721558.1_334	CAALFM_C103600WA
lcl|NC_032089.1_cds_XP_721559.1_335	CAALFM_C103610CA
lcl|NC_032089.1_cds_XP_019330631.1_336	CAALFM_C103620CA
lcl|NC_032089.1_cds_XP_721560.2_337	CAALFM_C103630WA
lcl|NC_032089.1_cds_XP_721561.1_338	CAALFM_C103640CA
lcl|NC_032089.1_cds_XP_721562.1_339	CAALFM_C103650CA
lcl|NC_032089.1_cds_XP_019330632.1_340	CAALFM_C103660WA
lcl|NC_032089.1_cds_XP_721563.2_341	CAALFM_C103670CA
lcl|NC_032089.1_cds_XP_721564.1_342	CAALFM_C103680WA
lcl|NC_032089.1_cds_XP_709975.2_343	CAALFM_C103690WA
lcl|NC_032089.1_cds_XP_710184.2_344	CAALFM_C103710CA
lcl|NC_032089.1_cds_XP_710182.2_345	CAALFM_C103720CA
lcl|NC_032089.1_cds_XP_713641.2_346	CAALFM_C103730CA
lcl|NC_032089.1_cds_XP_713640.2_347	CAALFM_C103740WA
lcl|NC_032089.1_cds_XP_713639.1_348	CAALFM_C103750WA
lcl|NC_032089.1_cds_XP_713638.1_349	CAALFM_C103760CA
lcl|NC_032089.1_cds_XP_019330633.1_350	CAALFM_C103770WA
lcl|NC_032089.1_cds_XP_713636.2_351	CAALFM_C103780CA
lcl|NC_032089.1_cds_XP_713635.1_352	CAALFM_C103790CA
lcl|NC_032089.1_cds_XP_713634.1_353	CAALFM_C103800WA
lcl|NC_032089.1_cds_XP_713633.2_354	CAALFM_C103810CA
lcl|NC_032089.1_cds_XP_713632.2_355	CAALFM_C103820WA
lcl|NC_032089.1_cds_XP_713631.2_356	CAALFM_C103830CA
lcl|NC_032089.1_cds_XP_019330634.1_357	CAALFM_C103840WA
lcl|NC_032089.1_cds_XP_711953.2_358	CAALFM_C103860CA
lcl|NC_032089.1_cds_XP_711954.2_359	CAALFM_C103870CA
lcl|NC_032089.1_cds_XP_711956.2_360	CAALFM_C103880CA
lcl|NC_032089.1_cds_XP_442675.2_361	CAALFM_C103890WA
lcl|NC_032089.1_cds_XP_711958.2_362	CAALFM_C103900WA
lcl|NC_032089.1_cds_XP_711959.2_363	CAALFM_C103910CA
lcl|NC_032089.1_cds_XP_711960.2_364	CAALFM_C103920CA
lcl|NC_032089.1_cds_XP_711961.2_365	CAALFM_C103930WA
lcl|NC_032089.1_cds_XP_711962.2_366	CAALFM_C103940WA
lcl|NC_032089.1_cds_XP_711964.2_367	CAALFM_C103950CA
lcl|NC_032089.1_cds_XP_711965.2_368	CAALFM_C103960CA
lcl|NC_032089.1_cds_XP_711967.2_369	CAALFM_C103980WA
lcl|NC_032089.1_cds_XP_711968.2_370	CAALFM_C103990WA
lcl|NC_032089.1_cds_XP_711969.1_371	CAALFM_C104000CA
lcl|NC_032089.1_cds_XP_710017.2_372	CAALFM_C104010CA
lcl|NC_032089.1_cds_XP_711971.1_373	CAALFM_C104020CA
lcl|NC_032089.1_cds_XP_711972.2_374	CAALFM_C104030WA
lcl|NC_032089.1_cds_XP_711973.2_375	CAALFM_C104040CA
lcl|NC_032089.1_cds_XP_711975.1_376	CAALFM_C104050CA
